run_datetime,ticker,display_name,asset_icon,asset_sector,asset_field,asset_logo_src,asset_type,company_group,model_type,start_date,prediction_horizon,signal_threshold_percent,transaction_cost,decision,test_accuracy_percent,test_precision_percent,test_recall_percent,test_f1_percent,walk_forward_accuracy_mean_percent,walk_forward_accuracy_std_percent,walk_forward_precision_mean_percent,walk_forward_recall_mean_percent,walk_forward_f1_mean_percent,strategy_total_return_percent,strategy_annual_return_percent,strategy_annual_volatility_percent,strategy_sharpe,strategy_max_drawdown_percent,strategy_win_rate_percent,buy_hold_total_return_percent,buy_hold_annual_return_percent,buy_hold_annual_volatility_percent,buy_hold_sharpe,buy_hold_max_drawdown_percent,buy_hold_win_rate_percent,signal_accuracy_rate_percent,latest_close,latest_probability_up_percent,predicted_return_5d_percent,predicted_price_5d,predicted_price_change_5d,recent_high_gap_percent,latest_signal,latest_position,data_rows_used
2026-05-13 15:15:04,IREN,IREN,🏢,Financial Services,Capital Markets,https://www.google.com/s2/favicons?domain=iren.com&sz=128,Stock,Resto,random_forest,2015-01-01,5,55,0.001,Invest,45.40540540540541,59.61538461538461,27.927927927927925,38.036809815950924,51.8954248366013,4.612360461275125,52.31709209505399,52.526258579895526,52.248387341110444,100.15981706791739,158.6755095864132,44.686836122696235,3.5508333852667326,-17.608611624002847,14.130434782608695,242.00785083100104,438.76234404035046,107.935186032718,4.065053854702674,-58.617982824527395,51.63043478260869,45.40540540540541,54.32929992675781,67.60409869046794,9.122118607274993,59.285283104578824,4.955983177821011,-11.226635213283021,1,1,1125
2026-05-13 17:19:53,UMAC,UMAC,🏢,Technology,Computer Hardware,https://www.google.com/s2/favicons?domain=unusualmachines.com&sz=128,Stock,Resto,random_forest,2015-01-01,5,55,0.001,Invest,68.05555555555556,65.57377049180327,95.23809523809523,77.66990291262135,56.554307116104866,10.379330682060688,61.14551083591332,77.7014652014652,65.50827423167847,23.124136807269792,109.24482875892845,96.05281489278717,1.1373412521107895,-30.581610129106885,38.028169014084504,-14.610780973570037,-42.914066793187914,121.22127599274745,-0.35401431342593204,-49.88713059758396,46.478873239436616,68.05555555555556,14.529999732971191,60.13232185846634,9.066485673563959,15.847360077129906,1.3173603441587147,-34.40180594488288,1,1,563
2026-05-13 15:13:56,CEG,CEG,🏢,Utilities,Utilities - Independent Power Producers,https://www.google.com/s2/favicons?domain=constellationenergy.com&sz=128,Stock,Resto,random_forest,2015-01-01,5,55,0.001,Invest,50.0,50.0,62.5,55.55555555555556,50.273972602739725,8.369067065263522,67.91212061446761,44.713313002786684,44.73681426602864,-7.987879485723759,-11.297296409231784,39.61149727995284,-0.28520245850310944,-34.1293827806544,25.71428571428571,4.153288721857185,6.034966198233582,49.15374664300004,0.12277733866484455,-38.76879018407544,50.857142857142854,50.0,274.5325012207031,64.40143289863653,5.213040820112454,288.8439925738141,14.311491353110966,-17.216133901821973,1,1,1083
2026-05-13 15:12:34,NOW,NOW,🏢,Technology,Software - Application,https://www.google.com/s2/favicons?domain=servicenow.com&sz=128,Stock,Resto,random_forest,2015-01-01,5,55,0.001,Invest,42.93785310734463,44.0771349862259,61.53846153846154,51.36436597110754,45.294117647058826,5.699831010193873,51.57647200796004,48.48827992955398,46.99409535080671,-26.652103612175125,-13.703010899723289,29.86702593473174,-0.45880064957483246,-46.295858231088474,13.584905660377359,-42.52168321406097,-23.148742477996475,42.853549788745404,-0.5401826124583036,-64.54173439572126,51.320754716981135,42.93785310734463,87.13999938964844,57.398756365882676,4.602382245215605,91.15051525003861,4.010515860390171,-29.917965291837547,1,1,2857
2026-05-13 15:12:55,FIVN,FIVN,🏢,Technology,Software - Infrastructure,https://www.google.com/s2/favicons?domain=five9.com&sz=128,Stock,Resto,random_forest,2015-01-01,5,55,0.001,Invest,51.03578154425612,45.55555555555556,52.118644067796616,48.616600790513836,53.755656108597286,3.7538838974090494,54.87749016367881,58.64435323777602,54.81249297798971,-14.532800350724873,-7.194742453358405,23.015803512559433,-0.31260009885956513,-40.58981619288308,10.943396226415095,-64.8136262404584,-39.142526490535154,56.369047448848484,-0.6943975153395069,-78.38996545633512,44.905660377358494,51.03578154425612,21.399900436401367,57.59887245832769,3.4157710757470157,22.130872045746624,0.7309716093452572,-11.789364243597511,1,1,2857
2026-05-13 15:12:49,PATH,PATH,🏢,Technology,Software - Infrastructure,https://www.google.com/s2/favicons?domain=uipath.com&sz=128,Stock,Resto,random_forest,2015-01-01,5,55,0.001,Invest,58.41121495327103,53.98230088495575,62.244897959183675,57.81990521327014,50.2247191011236,4.043382969763275,60.25362693847141,58.20859981994022,47.76021079437375,49.82886339926817,61.34175287237373,25.222231523629397,2.432050979109673,-10.62683727107131,14.084507042253522,-17.25768047911278,-20.078477699372478,65.21723441757679,-0.30787073200333526,-51.37377050671596,46.948356807511736,58.41121495327103,9.454999923706055,58.64395972833524,1.6789311298206697,9.613742860749676,0.15874293704362152,-24.05622434893726,1,1,1272
2026-05-13 15:14:01,VST,VST,🏢,Utilities,Utilities - Independent Power Producers,https://www.google.com/s2/favicons?domain=vistracorp.com&sz=128,Stock,Resto,random_forest,2015-01-01,5,55,0.001,Invest,46.380090497737555,50.76142131979695,41.66666666666667,45.766590389016024,47.66304347826088,7.566361264097029,57.45445976335029,61.70750239099515,52.24176221623116,70.49742511446027,35.64699757155183,28.219307979876135,1.263213031197383,-24.791585152410413,12.471655328798185,110.43136765673114,52.97996553574218,62.8967932230517,0.8423317441297626,-48.804278441015605,52.38095238095239,46.380090497737555,140.56500244140625,60.40865428379214,1.6584389551029908,142.896187199136,2.331184757729744,-20.395461918081903,1,0,2414
2026-05-13 15:13:26,UPST,UPST,🏢,Financial Services,Credit Services,https://www.google.com/s2/favicons?domain=upstart.com&sz=128,Stock,Resto,random_forest,2015-01-01,5,55,0.001,Invest,42.857142857142854,40.46511627906977,95.6043956043956,56.86274509803921,49.37500000000001,8.425596026559653,49.48527597095621,51.6568637577301,45.98812234001296,-4.220618187737735,-4.614873812944187,45.51274202358178,-0.10139740230445918,-28.978916789101174,18.695652173913043,-44.14168904961401,-47.16810389724599,71.25394145176716,-0.6619718563803909,-71.21122060613108,52.60869565217391,42.857142857142854,26.760000228881836,56.36842461755391,1.385610726989917,27.130789662595753,0.3707894337139166,-23.23580103169722,1,1,1357
2026-05-13 15:14:11,PWR,PWR,🏢,Industrials,Engineering & Construction,https://www.google.com/s2/favicons?domain=quantaservices.com&sz=128,Stock,Resto,random_forest,2015-01-01,5,55,0.001,Invest,55.74387947269304,63.08539944903582,69.39393939393939,66.08946608946609,55.158371040723985,3.0580670568512622,61.35828291663007,65.57766579602855,62.3888676227782,73.43033581251268,29.926338832024378,21.86447540445856,1.368719728163332,-22.027461518312663,16.9811320754717,208.10362136417132,70.7503091843311,38.30134701204761,1.8472015922071028,-33.885433229371905,54.90566037735849,55.74387947269304,767.4000244140625,60.28455161888242,1.3001175997344683,777.3771271918364,9.977102777773894,-2.27191254166611,1,1,2857
2026-05-13 15:15:55,^FCHI,CAC 40,🇫🇷,Índice,Market Index,,Index,Resto,random_forest,2015-01-01,5,55,0.001,Entry Window,54.5286506469501,56.56250000000001,62.84722222222222,59.539473684210535,51.6,3.7164964252656483,57.804513820371604,60.999331633942575,58.18746040198208,-1.7838533223470177,-0.8364613892853479,6.2240424876806015,-0.13439197931906413,-8.862432571997235,9.814814814814815,1.6910039194551363,0.7856071108087281,15.177967182261929,0.05175970545824117,-16.710823383010954,50.55555555555556,54.5286506469501,8007.4501953125,57.58674238139127,1.1507322882645608,8099.594510176665,92.1443148641647,-7.116163968684496,1,0,2906
