display_name,decision,latest_close,latest_probability_up_percent,predicted_return_5d_percent,predicted_price_5d,predicted_price_change_5d,recent_high_gap_percent,test_accuracy_percent,walk_forward_accuracy_mean_percent,strategy_total_return_percent,buy_hold_total_return_percent,strategy_sharpe,buy_hold_sharpe,strategy_max_drawdown_percent,buy_hold_max_drawdown_percent,signal_accuracy_rate_percent,data_rows_used
BBAI,Watch,4.380000114440918,52.36631148063915,3.89027921407364,4.550394348469414,0.17039423402849607,0.0,51.1520737327189,51.11111111111111,-34.514148791258094,-28.595890970206906,-0.5610879653633362,-0.3472153729852582,-67.84775473072884,-65.88103239153268,51.1520737327189,1285
SMCI,Watch,33.029998779296875,54.44406057884071,3.2106831846192,34.090487395983686,1.0604886166868113,-6.61577671261524,46.32768361581921,50.76923076923077,-71.33625479846177,-67.20191987505493,-0.6129946077794001,-0.4203753604828512,-89.93280933242566,-82.63510498500382,46.32768361581921,2858
IONQ,Watch,57.470001220703125,51.88289626184069,1.782589880754265,58.49445564693273,1.0244544262296031,0.0,47.59825327510917,45.578947368421055,65.88364059782094,19.979864849908502,1.260831171898763,0.24476013258470852,-35.72952693017911,-67.60872050335973,47.59825327510917,1347
VRT,Watch,376.2300109863281,52.822529748786785,1.4974441473324545,381.8638452663512,5.633834280023052,0.0,43.87464387464387,45.61643835616439,34.428163844275716,170.64176575902331,1.4915414801972937,1.5273584321881697,-10.239222657464309,-61.27737451599044,43.87464387464387,1956
UPST,Watch,29.709999084472656,54.73630049682773,1.471540082323752,30.14719362945869,0.4371945449860348,-14.773383349711223,41.99134199134199,48.125,-0.19623277770092207,-46.62249397638754,-0.0047130087224745605,-0.7005132123911081,-28.34580324255288,-71.21122060613109,41.99134199134199,1358
NVDA,Watch,235.74000549316406,52.989484671422936,1.3900685400342683,239.0169531457996,3.2769476526355277,0.0,43.87947269303202,48.37104072398189,13.977967910220833,128.6269252288107,0.4430697797807789,0.9868519934986275,-11.663147941171914,-36.88102640330231,43.87947269303202,2858
NET,Watch,199.80999755859375,54.39909940260373,1.20056010354382,202.2088366721741,2.398839113580351,-22.18934113098885,55.254237288135585,52.16326530612244,34.77153582223609,95.9929783019379,0.7654892646453929,1.4110066906331264,-32.8977500304362,-36.758783848623125,55.254237288135585,1676
ANET,Watch,147.80999755859375,52.81346460419367,1.1738134832584861,149.54501123954057,1.735013680946821,-16.834523652840694,51.9774011299435,49.95475113122172,48.148489834373656,90.37706932254244,0.8191099661896991,0.6819296426974909,-39.449479890203364,-50.41596124253698,51.9774011299435,2858
ASML,Watch,1584.510009765625,51.56699052180238,0.5720738869427432,1593.5745777674879,9.064568001862881,-0.4717283497374769,52.35404896421846,50.40723981900452,81.74136596927235,59.17725618045644,1.393639510227908,0.5619647892031274,-10.39431198216919,-45.48234902459598,52.35404896421846,2858
NRG,Watch,134.72000122070312,52.24026984738992,0.5219644743095753,135.42319176686462,0.703190546161494,-26.570356314260223,48.96421845574388,50.90497737556561,23.283970455260807,123.0454243709663,0.652491629974137,0.9471127463546386,-16.289642890855294,-26.224303850948615,48.96421845574388,2858
AAPL,Watch,298.2099914550781,51.40234181355221,0.4674094546939978,299.6038531499813,1.393861694903194,-0.220833028705536,45.76271186440678,49.81900452488689,10.307972079401551,70.912692380133,0.5451128391484525,1.0297380512391787,-8.293802958076435,-33.36051995314503,45.76271186440678,2858
ARKK,Watch,78.0,50.13816680320107,0.38335797748301936,78.29901922243675,0.2990192224367547,-2.5365473075853906,53.86064030131826,49.59276018099548,48.419739372327356,55.76654448655416,1.2751771282944366,0.5808294350448303,-16.532002729630946,-39.55535608681028,53.86064030131826,2858
QQQ,Watch,719.7899780273438,50.70958313720092,0.38037114626271556,722.5278514174506,2.73787339010687,0.0,56.12052730696798,52.03619909502262,17.583126087418965,58.47967538236243,0.598727754636752,1.1636720650998862,-10.202087108473357,-22.768304800555917,56.12052730696798,2858
META,Watch,618.4299926757812,51.912489919829916,0.32958173507298905,620.4682249758538,2.0382323000725364,-10.183718881754011,56.30885122410546,49.09502262443439,11.744256075388538,25.227673244957515,0.3910340378395682,0.3112404965297458,-17.774670250522185,-34.150815102672574,56.30885122410546,2858
Nasdaq Composite,Watch Entry,26635.220703125,50.37037154839512,0.32466753116041197,26721.696616600962,86.47591347596244,0.0,56.685499058380415,54.75113122171946,35.20176416652454,58.167892948682855,1.4647621672030804,1.1317540083480482,-2.4888812272343963,-24.318464692528842,56.685499058380415,2858
Nikkei 225,Watch Entry,61409.2890625,54.25501101613589,0.02889649816968195,61427.034196589964,17.745134089964267,-2.9441413142392125,55.14563106796116,50.46728971962617,24.85889419574128,53.85046025211216,0.6165794391158789,0.8752724987751392,-12.495757674714236,-26.25860724822561,55.14563106796116,2775
IBEX 35,Watch Entry,17565.30078125,50.57788734479802,-0.04070523440294944,17558.15078439341,-7.149996856591315,-5.034973172328227,55.822550831792974,51.06666666666667,5.606909174067609,63.47503537665173,0.34085052547264033,1.5957159528357203,-10.838204701665488,-12.596130496961788,55.822550831792974,2906
AVGO,Watch,439.7900085449219,50.14895198670983,-0.3483187848118131,438.2581373314344,-1.5318712134874772,0.0,54.23728813559322,52.76018099547512,138.24093343987522,216.17756019616016,1.8336333019417002,1.3758533818186893,-24.971799942345505,-41.14968038031221,54.23728813559322,2858
INOD,Watch,90.1500015258789,51.34864796089686,-2.2479996336441284,88.12342982184697,-2.0265717040319373,-13.175382898899468,51.60075329566855,49.00452488687783,17.631235599223906,660.6666564941424,0.15910892535724647,1.4713265082101752,-35.69330316990623,-63.03251436805133,51.60075329566855,2858
QBTS,Avoid,22.1299991607666,47.04650090011263,12.995186685192325,25.005833865139717,2.8758347043731156,-7.906789311640838,51.293103448275865,50.0,20.256326468981346,33.51548687247268,0.4494517395063356,0.3572733412443511,-30.72198427456996,-71.01384569881372,51.293103448275865,1361
SOUN,Avoid,8.520000457763672,44.90135310575578,2.823431328930766,8.760556819913216,0.2405563621495439,-11.526476048662937,52.760736196319016,50.370370370370374,-17.102206118708672,-32.13530374057426,-0.507801163203508,-0.5918012578512534,-36.87549863555999,-72.42990560495797,52.760736196319016,1015
AMD,Avoid,449.70001220703125,48.230997417621445,1.4685756074097067,456.30419689282223,6.604184685790983,-1.9812977982498037,44.632768361581924,48.41628959276017,-10.991478539413924,129.63962594476217,-0.42717126552358725,0.8342631226298249,-26.45764987200254,-57.485324945589426,44.632768361581924,2858
AIQ,Avoid,62.43000030517578,48.156501038265546,0.5665773157905795,62.783714525152895,0.35371421997711394,-0.6682548594145965,55.24861878453039,49.966777408637874,37.35328804406861,54.80690308406562,1.6283566898510744,1.3547895400844683,-8.323540733717827,-26.350246427982917,55.24861878453039,2010
WDC,Avoid,489.1499938964844,41.48651898568871,0.5483458861563031,491.8322277651496,2.6822338686652074,-5.172250995372463,34.83992467043315,46.65158371040724,-5.925383238767101,804.4786451922373,-0.17324527192957062,3.340348702629345,-23.131143460011728,-49.64553706056146,34.83992467043315,2858
SMH,Avoid,578.3400268554688,34.060435813865,0.4263272271824017,580.8056478556476,2.465621000178885,0.0,43.69114877589454,51.266968325791865,32.91590497435961,141.89084936058748,0.9470799563948081,1.418532284905826,-8.67549048195987,-35.73876619263664,43.69114877589454,2858
TSM,Avoid,417.7200012207031,45.84617419317054,0.3007967801342794,418.9764895343519,1.2564883136487879,-0.4243143693198781,47.26930320150659,46.10859728506787,-13.37324751288339,206.21237461212553,-0.6076389879053291,1.7177418019478317,-14.347028552259566,-36.81738063002581,47.26930320150659,2858
VGT,Avoid,115.19000244140625,42.034955023361476,0.2712130245444181,115.50241273100039,0.3124102895941405,0.0,50.847457627118644,55.61085972850679,29.827746836236457,68.84569666750453,1.1573257965600972,1.1134191762823866,-3.8348148267877358,-27.228780633663174,50.847457627118644,2858
SNOW,Avoid,150.75999450683594,46.809214075223714,0.22120019034336663,151.0934759016467,0.3334813948107751,-17.54539623363941,51.229508196721305,50.44334975369458,-17.73987804267164,-15.561659629854796,-0.5776247929677842,-0.2984586101031314,-43.001069688136084,-56.30006703868289,51.229508196721305,1422
XLK,Avoid,179.5,39.9761380422966,0.19440359840805838,179.84895445914245,0.3489544591424476,0.0,53.10734463276836,53.936651583710415,31.816252816410362,65.50906505896363,0.9821963752858527,1.0613254823383935,-16.30871818871902,-25.656301372975943,53.10734463276836,2858
